name,price,sale_area,judge,
波司登连帽气质中长款时尚休闲连帽宽松百搭甜美羽绒服B1601128N,699,2077,评价: 828,828.00 
BSD波司登2017新款轻羽绒立领时尚女士短羽绒服B70131008,359,3629,评价: 811,811.00 
波司登迪士尼系列米奇连帽中长款时尚青年学生羽绒服女B1601118,699,1964,评价: 810,810.00 
BSD波司登羽绒服男街头中长款羊羔毛多口袋防寒服B1301071,355,2910,评价: 804,804.00 
BSD波司登冬季羽绒服男街头连帽加厚保暖中长款B1301077,355,2294,评价: 796,796.00 
波司登2017新款中老年长袖羽绒服妈妈装大码羽绒内胆B1701612B,269,3158,评价: 786,786.00 
BSD波司登迪士尼米奇系列中长款女士欧美羽绒服B1601152,799,1748,评价: 780,780.00 
波司登 修身简约女款羽绒服貉子毛条中长款保暖女装外套B1401150,349,4546,评价: 772,772.00 
波司登貉子毛迪士尼系列女中长款大毛领羽绒服B1601158,1439,2103,评价: 766,766.00 
波司登2017新款白鹅绒加拿大风加厚长款大毛领羽绒服女B70142016,1799,3427,评价: 765,765.00 
波司登撞色冬季清仓保暖运动休闲时尚带帽短款羽绒服 男B1501063,479,2190,评价: 764,764.00 
波司登中长款羽绒服保暖貉子毛领淑女双排扣外套B1401162,449,2487,评价: 758,758.00 
波司登中长款女防寒保暖羽绒服纯色连帽时尚冬装B1601154,799,2254,评价: 754,754.00 
波司登户外冬季清仓连帽撞色拼接保暖短款男士户外羽绒服B1501053,377,2010,评价: 751,751.00 
波司登中老年真獭兔毛领大码妈妈装短款羽绒服反季清仓B1501302B,549,2280,评价: 744,744.00 
波司登秋冬短款欧美女款轻薄棒球衫羽绒服反季B1501036,299,2371,评价: 736,736.00 
【预售】波司登2017新款冬季短款保暖外套潮轻薄羽绒服男B1701515,239,2031,评价: 736,736.00 
波司登羽绒服中长款加厚宽松女士撞色冬季大毛领反季清仓B1401132,349,2472,评价: 732,732.00 
波司登潮流貉子毛女短款时尚连帽毛条气质保暖瑞丽羽绒服B1601288,699,1882,评价: 727,727.00 
波司登百搭冬季女中老年妈妈装中长款大毛领保暖羽绒服B1601344,899,2028,评价: 727,727.00 
波司登2017新品妈妈款短款女士加肥大码中老年装羽绒服B70141022B,719,3504,评价: 701,701.00 
BSD波司登冬女士修身中长款轻薄90%鹅绒简约羽绒服B1601064,598,1766,评价: 698,698.00 
波司登貉子毛大毛领中长款羽绒服防寒外套双排扣修身大衣B1401164,449,2860,评价: 684,684.00 
波司登冬商务服休闲中长款男士连帽都市保暖羽绒服反季B1601109Q,899,1684,评价: 683,683.00 
波司登保暖加肥大码宽松连帽短款欧美羽绒服女反季清仓B1501092B,398,2119,评价: 681,681.00 
BSD波司登冬季百搭女中长款连帽气质修身简约羽绒服B1601298,699,1634,评价: 680,680.00 
波司登纯色男士户外中长款保暖韩版时尚外套连帽羽绒服B1601151,799,1595,评价: 679,679.00 
波司登男短款直筒纯色青年时尚都市保暖休闲绅士羽绒服B1601229,699,1732,评价: 661,661.00 
波司登清仓中长款女装欧美连帽修身显瘦外套羽绒服 女 潮B1401124,299,1774,评价: 657,657.00 
BSD波司登中长款欧美大气宽松连帽羽绒服女款外套B1401120,349,2380,评价: 656,656.00 
BSD波司登连帽纯色羽绒服保暖女中长款时尚休闲外套B1501220,549,1656,评价: 648,648.00 
波司登冬季时尚运动清仓纯色青年连帽男士羽绒服户外街头B1601139,566,1697,评价: 645,645.00 
BSD波司登韩版宽松斗篷毛条皮草毛领羽绒服女休闲外套B1501128,688,1759,评价: 642,642.00 
BSD波司登商务男款立领短款冬季男士保暖服羽绒服B1601101,629,1683,评价: 642,642.00 
BSD波司登冬季加厚时尚大毛领中长款户外宽松羽绒服B1501180,659,1564,评价: 639,639.00 
波司登羽绒服mm韩版简约时尚中长款女外套连帽反季清仓B1401106X,299,2840,评价: 638,638.00 
BSD波司登羽绒服男街头休闲毛领中长款连帽羽绒衣B1301069,355,2556,评价: 634,634.00 
波司登轻薄薄款冬季外套撞色韩版男连帽运动短款羽绒服B1501021,299,2352,评价: 630,630.00 
波司登简约百搭冬季轻薄羽绒服男连帽羽绒衣外套反季清仓B1601015,448,1484,评价: 630,630.00 
波司登2017新品短款男款保暖时尚休闲欧美男装潮羽绒服B70141023,799,2575,评价: 622,622.00 
bosideng波司登2017中长款轻羽绒连帽女生羽绒服 潮流B70132110,539,2016,评价: 620,620.00 
波司登反 季 清仓女款甜美气质短款皮草毛领斗篷型羽绒服B1501170,523,1897,评价: 614,614.00 
波司登90%鹅绒通勤中长款西装领女羽绒服潮B1601060,498,1850,评价: 607,607.00 
波司登2017新款狐狸毛修身百搭中老年款短款羽绒服B70141042BWT,898,2766,评价: 600,600.00 
BSD波司登潮女简约时尚保暖女连帽短羽绒服羽绒衣B1501090,398,1908,评价: 596,596.00 
BSD波司登羽绒服女时尚中长款加厚修身外套大衣B1301218,358,1765,评价: 586,586.00 
波司登2017新品女士中长款冬装时尚连帽运动保暖羽绒服B70141010,799,2345,评价: 585,585.00 
波司登男士运动气质撞色短款青年时尚保暖连帽防寒羽绒服B1601135,484,1551,评价: 582,582.00 
波司登短款修身羊羔绒连帽清新休闲保暖外套反季清仓B1301122,279,1521,评价: 570,570.00 
