num,announcementTitle,announcementTitle_a,adjunctUrl,secCode,announcementTime,adjunctSize,adjunctType
801,神农基因：拟发行股份购买资产项目涉及的海南波莲水稻基因科技有限公司股东全部权益价值补充资产评估说明,801神农基因拟发行股份购买资产项目涉及的海南波莲水稻基因科技有限公司股东全部权益价值补充资产评估说明,http://www.cninfo.com.cn/finalpage/2016-09-05/1202675797.PDF,code:300189,2016/9/5 16:01,2029,PDF
802,天保基建：天津保税区投资有限公司拟股权转让项目所涉及的天津中天航空工业投资有限责任公司股东全部权益价值资产评估说明,802天保基建天津保税区投资有限公司拟股权转让项目所涉及的天津中天航空工业投资有限责任公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2016-06-27/1202404666.PDF,code:000965,2016/6/27 0:00,373,PDF
803,涪陵电力：拟以现金购买国网节能服务有限公司持有的配电网节能业务市场价值资产评估说明,803涪陵电力拟以现金购买国网节能服务有限公司持有的配电网节能业务市场价值资产评估说明,http://www.cninfo.com.cn/finalpage/2016-02-25/1201996900.PDF,code:600452,2016/2/25 0:00,1109,PDF
804,农发种业：中联资产评估集团有限公司关于中农发河南农化有限公司2016年度盈利预测未实现的情况说明,804农发种业中联资产评估集团有限公司关于中农发河南农化有限公司2016年度盈利预测未实现的情况说明,http://www.cninfo.com.cn/finalpage/2017-04-28/1203417646.PDF,code:600313,2017/4/28 0:00,835,PDF
805,华测检测：国众联资产评估土地房地产估价有限公司关于杭州华安无损检测技术有限公司2016年业绩未达预测目标的情况说明,805华测检测国众联资产评估土地房地产估价有限公司关于杭州华安无损检测技术有限公司2016年业绩未达预测目标的情况说明,http://www.cninfo.com.cn/finalpage/2017-04-28/1203415404.PDF,code:300012,2017/4/28 0:00,266,PDF
806,康耐特：关于更换公司发行股份及支付现金购买资产并募集配套资金暨关联交易签字评估师的说明,806康耐特关于更换公司发行股份及支付现金购买资产并募集配套资金暨关联交易签字评估师的说明,http://www.cninfo.com.cn/finalpage/2016-06-02/1202352165.PDF,code:300061,2016/6/2 8:00,155,PDF
807,[临时公告]行知探索:关于重大资产重组2016年盈利未达到资产评估报告预测金额的说明及致歉公告,807临时公告行知探索关于重大资产重组2016年盈利未达到资产评估报告预测金额的说明及致歉公告,http://www.cninfo.com.cn/finalpage/2017-04-27/1203447641.PDF,code:835073,2017/4/27 0:00,260,PDF
808,海立股份：关于杭州富生电器有限公司以收益法评估的重组标的资产2016年度盈利预测实现情况的专项说明,808海立股份关于杭州富生电器有限公司以收益法评估的重组标的资产2016年度盈利预测实现情况的专项说明,http://www.cninfo.com.cn/finalpage/2017-04-27/1203403564.PDF,code:600619,2017/4/27 0:00,5674,PDF
809,利欧股份：拟收购股权涉及的长沙天鹅工业泵股份有限公司股东全部权益价值评估项目评估说明附件二（长沙恒流流体机械科技顾问有限公司资产评估说明）,809利欧股份拟收购股权涉及的长沙天鹅工业泵股份有限公司股东全部权益价值评估项目评估说明附件二长沙恒流流体机械科技顾问有限公司资产评估说明,http://www.cninfo.com.cn/finalpage/2011-03-11/59105986.PDF,code:002131,2011/3/11 6:30,170,PDF
810,泰胜风能：北京中同华资产评估有限公司关于南通蓝岛海洋工程有限公司未实现2016年盈利预测的说明及道歉,810泰胜风能北京中同华资产评估有限公司关于南通蓝岛海洋工程有限公司未实现2016年盈利预测的说明及道歉,http://www.cninfo.com.cn/finalpage/2017-04-26/1203385618.PDF,code:300129,2017/4/26 0:00,210,PDF
811,新日恒力：广东中广信资产评估有限公司关于公司之收购标的博雅干细胞科技有限公司2016年度业绩承诺未实现的说明及致歉函,811新日恒力广东中广信资产评估有限公司关于公司之收购标的博雅干细胞科技有限公司2016年度业绩承诺未实现的说明及致歉函,http://www.cninfo.com.cn/finalpage/2017-04-26/1203385042.PDF,code:600165,2017/4/26 0:00,189,PDF
812,老百姓：开元资产评估有限公司关于对上海证券交易所《关于对老百姓大药房股份有限公司重大资产购买暨关联交易报告书信息披露的问询函》有关评估问题回复的专项说明,812老百姓开元资产评估有限公司关于对上海证券交易所关于对老百姓大药房股份有限公司重大资产购买暨关联交易报告书信息披露的问询函有关评估问题回复的专项说明,http://www.cninfo.com.cn/finalpage/2016-10-18/1202766423.PDF,code:603883,2016/10/18 0:00,7886,PDF
813,掌趣科技：北京中企华资产评估有限责任公司关于上游信息科技（上海）有限公司2016年度盈利预测未实现的情况说明及致歉信,813掌趣科技北京中企华资产评估有限责任公司关于上游信息科技上海有限公司2016年度盈利预测未实现的情况说明及致歉信,http://www.cninfo.com.cn/finalpage/2017-04-25/1203378949.PDF,code:300315,2017/4/25 0:00,214,PDF
814,[临时公告]超弦科技:发行股份购买资产所涉及的武汉安联美嘉科技有限公司股东全部权益价值的评估报告及评估说明,814临时公告超弦科技发行股份购买资产所涉及的武汉安联美嘉科技有限公司股东全部权益价值的评估报告及评估说明,http://www.cninfo.com.cn/finalpage/2015-04-24/1200917240.PDF,code:430522,2015/4/24 0:00,26758,PDF
815,永安林业：中联资产评估集团有限公司关于公司拟收购森源股份100%股权项目评估相关问题的说明,815永安林业中联资产评估集团有限公司关于公司拟收购森源股份100股权项目评估相关问题的说明,http://www.cninfo.com.cn/finalpage/2015-04-14/1200829369.PDF,code:000663,2015/4/14 0:00,581,PDF
816,ST华泽：北京中企华资产评估有限责任公司关于2015年度盈利预测未实现的说明及致歉公告,816ST华泽北京中企华资产评估有限责任公司关于2015年度盈利预测未实现的说明及致歉公告,http://www.cninfo.com.cn/finalpage/2016-05-14/1202322288.PDF,code:000693,2016/5/14 0:00,1693,PDF
817,超图软件：拟实施资产重组项目涉及的南京国图信息产业股份有限公司资产评估说明,817超图软件拟实施资产重组项目涉及的南京国图信息产业股份有限公司资产评估说明,http://www.cninfo.com.cn/finalpage/2016-01-05/1201886006.PDF,code:300036,2016/1/5 0:00,1222,PDF
818,股份有限公司持有的山西普德药业有限公司100%股权项目所涉及的山西普德药业有限公司股东全部权益资产评估说明,818股份有限公司持有的山西普德药业有限公司100股权项目所涉及的山西普德药业有限公司股东全部权益资产评估说明,http://www.cninfo.com.cn/finalpage/2017-08-12/1203791467.PDF,code:300254,2017/8/12 0:00,2641,PDF
819,漳泽电力：大同煤矿集团有限责任公司拟对大同煤矿集团财务有限责任公司增资扩股涉及的其股东全部权益评估项目资产评估说明,819漳泽电力大同煤矿集团有限责任公司拟对大同煤矿集团财务有限责任公司增资扩股涉及的其股东全部权益评估项目资产评估说明,http://www.cninfo.com.cn/finalpage/2015-03-14/1200698013.PDF,code:000767,2015/3/14 0:00,1473,PDF
820,金城股份：拟发行股份购买江苏省冶金设计院有限公司100%股权项目江苏省冶金设计院有限公司股东全部权益价值资产评估说明,820金城股份拟发行股份购买江苏省冶金设计院有限公司100股权项目江苏省冶金设计院有限公司股东全部权益价值资产评估说明,http://www.cninfo.com.cn/finalpage/2016-05-03/1202285861.PDF,code:000820,2016/5/3 7:57,52756,PDF
