aid,view,danmaku,reply,favorite,coin,share
1032,1449,43,12,25,1,5
1025,2352,80,49,26,2,5
1035,140347,24690,252,1450,58,6
1033,4499,7,17,18,1,3
1028,4615,91,36,26,3,3
1040,5742,40,68,54,18,3
1036,5059,121,49,156,14,10
1037,1511,8,5,16,2,1
1038,5657,46,37,16,5,4
1045,3105,13,12,6,1,1
1039,2909,28,11,1,13,2
1041,12493,876,71,128,22,10
1042,7544,53,22,69,4,4
1048,7222,30,18,14,3,1
1046,4950,45,15,44,4,6
1055,2996,45,11,68,9,7
1060,9163,20,14,69,4,3
1057,4980,151,38,7,17,3
1063,2102,153,13,14,4,2
1064,8195,427,92,19,61,2
1050,--,955,135,454,15,6
1061,124969,4803,124,1025,30,4
1059,44865,2891,77,133,7,5
1066,3758,4,16,5,5,1
1058,3220,31,6,8,1,1
1076,74273,1266,226,1528,279,135
1079,806,5,7,2,2,1
1072,4204,8,21,14,45,4
1078,3462,3,5,6,9,2
1080,34373,97,66,26,6,3
1083,1767,32,8,34,14,0
1086,2575,226,36,31,3,1
1085,2114,27,20,8,4,2
1082,36205,3848,58,754,45,11
1095,2220,31,19,16,3,3
1084,5841,49,20,37,4,4
1096,8546,93,36,61,18,2
1090,11547,20,37,222,16,3
1102,5822,79,45,196,5,8
1094,3467,59,11,62,5,6
1101,13767,34,24,96,8,9
1091,743,97,10,2,5,1
1092,6895,37,20,20,4,5
1105,1810,27,10,10,2,2
1107,5780,209,59,24,2,2
1103,2109,40,16,26,1,2
1099,9652,1138,69,184,6,3
1098,66570,3462,59,1165,85,13
1113,19581,0,206,97,15,1
1106,2929,1,17,5,2,1
1104,2159,91,24,8,1,1
1122,8465,32,54,41,8,4
1109,3112,22,19,76,15,4
1123,1898,7,12,15,4,2
1114,1952,21,16,12,6,7
1111,22313,168,330,194,30,4
1120,1491,12,14,4,1,2
1108,5469,164,36,41,5,1
1112,1608,20,35,6,6,4
1125,1163,11,31,3,1,3
1119,4735,114,56,208,27,8
1121,65363,1328,233,1735,90,54
1126,10376,85,62,77,5,5
1127,34123,355,208,2145,172,60
1128,--,1158,250,1127,67,48
1136,--,24,7,5,0,2
1135,66084,3038,251,295,14,11
1133,17617,1252,121,124,8,5
1132,1103,36,7,11,1,0
1131,1164,25,12,10,2,5
1143,1378,34,26,4,1,0
1139,3161,22,4,28,6,7
1134,21683,1035,126,122,18,11
1141,1335,13,4,14,5,3
1137,1547,11,5,3,2,1
1144,2016,28,15,40,3,5
1146,4058,341,70,34,3,4
1148,3068,2,27,44,9,4
1145,2836,80,17,21,1,1
1152,10976,77,23,166,13,4
1153,13953,657,63,586,27,44
1154,1215,14,3,2,1,1
1159,34788,125,124,25,13,3
1155,1965,6,6,5,1,1
1156,1988,6,3,3,1,2
1164,841,41,8,2,6,3
1160,4752,224,9,13,2,2
1162,--,601,33,355,27,3
1170,6439,100,8,33,5,3
1167,--,96,20,11,2,2
1172,6200,1024,36,12,1,1
1161,1243,55,8,1,2,4
1168,1343,8,17,18,4,3
1166,2673,26,37,10,8,2
1175,2694,188,25,5,2,1
1173,3661,231,23,12,1,0
1169,3542,82,25,20,3,2
1179,2814,61,20,5,4,5
1176,3646,270,31,33,4,4
1178,--,1673,115,329,219,37
1183,10104,250,16,211,86,8
1189,587081,11316,743,1822,358,188
1184,7288,100,20,56,71,1
1182,1637,23,4,13,10,2
1190,1807,19,9,1,2,1
1191,1959,15,25,16,1,3
1198,3801,144,31,14,1,10
1205,6837,361,41,29,11,2
1208,114610,3383,131,1999,320,198
1196,125567,9856,296,1059,131,81
1194,867,5,4,17,2,2
1207,54017,2730,24,722,18,8
1218,2058,69,12,4,3,0
1219,74246,1713,90,116,35,10
1212,17879,240,51,161,15,68
1222,6090,31,24,9,4,4
1215,8902,434,25,80,16,3
1230,3973,52,22,21,4,8
1224,25366,3110,50,347,47,24
1231,7879,246,25,163,10,7
1237,1364,12,8,7,1,2
1242,6943,117,9,99,9,27
1244,3190,285,14,7,6,2
1238,2415,41,20,20,1,0
1245,4231,66,30,6,1,6
1240,3392,90,16,29,4,4
1239,4071,148,34,37,29,4
1251,3010,52,14,46,6,4
1250,3332,35,18,25,4,2
1243,5248,353,124,28,21,3
1252,7997,92,28,139,4,5
1255,1542,17,10,13,4,4
1254,1784,15,14,17,2,1
1271,3678,176,26,23,11,3
1267,--,31863,14889,53188,7538,5034
1265,4245,99,6,19,1,1
1263,38282,469,112,446,23,11
1280,3722,52,13,46,3,7
1273,50951,71,257,877,63,4
1278,3683,118,10,5,3,4
1284,1257,46,7,15,4,3
1292,9399,222,21,65,12,11
1281,4856,145,25,134,5,3
1279,1315,25,9,1,1,3
1282,7846,163,64,85,9,14
1276,6619,85,11,54,2,4
1288,3668,276,16,11,2,3
1291,1740,58,12,2,2,2
1297,2396,72,25,50,4,4
1285,1346,18,4,3,2,5
1289,15865,351,62,157,7,4
1286,2151,49,5,12,3,4
1299,126011,2758,1470,467,288,30
1303,19262,396,104,117,52,20
1306,12800,172,31,214,17,21
1307,25150,812,117,345,18,10
1305,72547,2724,101,1238,52,13
1302,1320,6,7,8,11,3
1300,4123,102,18,24,3,4
1304,1178,11,4,2,2,0
1311,390322,7780,486,1976,491,210
1319,5346,1,8,21,3,2
1318,576,6,4,3,1,0
1315,2199,40,40,139,4,2
1322,3676,2,29,29,1,4
1323,765,3,2,2,1,2
1325,1331,1,9,4,4,1
1320,1773,41,13,10,5,3
1327,401,0,2,0,0,6
1333,1022,2,5,6,1,0
1331,1011,5,4,8,2,3
1335,2044,4,7,16,6,2
1328,2013,2,3,13,1,1
1329,478,2,3,3,1,2
1338,2486,224,4,1,2,1
1332,2386,1,8,4,3,6
1334,1068,10,8,5,1,3
1337,9346,12,35,96,3,9
1343,1570,34,9,20,1,2
1342,622,3,5,2,2,3
1340,23906,159,135,522,105,25
1341,536,2,3,2,1,4
1352,1618,87,25,7,1,4
1346,597,23,7,4,3,2
1355,2138,67,13,9,0,1
1348,1492,11,12,31,3,1
1359,6448,90,11,81,19,8
1350,6013,130,23,60,1,3
1349,3653,211,6,13,3,4
1354,3550,89,14,2,1,2
1356,4735,157,41,265,30,31
1353,4469,208,9,10,5,1
1361,3795,6,20,43,4,3
1360,6951,165,9,31,3,10
1369,853,13,7,8,0,2
1368,2192,133,20,14,1,4
1366,9970,317,36,139,11,9
1364,1920,36,3,22,0,2
1371,17638,438,41,77,13,5
1367,1130,8,7,15,2,8
1378,1316,22,8,3,1,2
1372,33191,2890,31,487,11,9
1370,14191,282,26,245,19,14
1373,1105,77,6,6,0,2
1375,2439,69,15,58,16,4
1387,1775,62,4,10,1,3
1381,14898,6,46,23,4,2
1390,218214,5872,118,190,131,9
1389,261356,8107,104,206,130,9
1391,1064,30,8,12,1,5
1393,2036,23,18,9,6,1
1396,14441,153,16,282,15,30
1388,27490,861,170,844,143,48
1394,12133,196,61,414,33,22
1392,16337,148,20,25,1,5
1402,12605,98,12,109,13,19
1397,1520,29,8,9,2,5
1395,2790,131,16,20,6,4
1400,9885,174,66,35,9,3
1405,1117,1,3,3,2,5
1407,4432,1,16,31,33,5
1404,2016,122,13,8,1,0
1412,4988,1,22,12,4,5
1408,19527,5,21,15,5,3
1413,7642,262,204,534,109,12
1411,5463,2,37,75,7,2
1417,2200,19,8,18,3,3
1414,2364,4,21,6,1,3
1421,1715,2,6,12,3,2
1424,1058,12,10,4,3,2
1419,1805,57,16,13,3,1
1428,2720,65,22,17,2,1
1420,1246,15,2,17,3,2
1423,4917,817,21,172,19,4
1427,3562,68,17,24,1,4
1422,3868,214,25,17,6,4
1431,3294,89,10,7,2,1
1425,1853,30,19,10,2,1
1435,33151,255,17,37,13,2
1444,1291,128,41,23,5,2
1448,7322,81,23,13,3,4
1446,3295,161,57,33,15,3
1436,3734,329,26,42,6,4
1447,1461,33,4,7,1,5
1454,3361,31,31,6,1,2
1449,29716,532,60,344,17,4
1451,3702,125,6,43,5,3
1460,974,7,5,4,2,4
1452,913,5,17,3,1,2
1464,41588,438,28,73,19,2
1450,1557,16,7,3,1,5
1465,884,3,7,2,6,3
1458,3380,73,23,96,18,9
1461,4456,400,6,19,1,2
1466,3240,46,36,33,12,1
1463,1431,7,7,1,5,2
1456,1598,1,8,2,1,3
1462,912,63,9,8,1,2
1471,2376,78,8,7,5,2
1468,1518,60,16,2,1,3
1479,--,49,17,7,1,1
1478,81123,1770,128,563,42,67
1481,1707,78,3,2,1,0
1482,2562,48,10,3,1,3
1475,7734,210,26,21,4,1
1476,1461,94,19,7,3,2
1473,1687,30,9,16,1,9
1488,2024,12,4,3,8,1
1477,5370,80,36,44,2,3
1480,1651,3,3,8,1,0
1491,6760,204,38,131,9,1
1484,1157,59,6,0,1,1
1486,1234,50,7,2,1,4
1485,2715,59,24,73,9,2
1494,1186,108,8,4,1,3
1490,2078,76,6,3,2,0
1489,1149,45,13,2,2,3
1495,1276,17,12,12,2,1
1500,2681,32,11,5,3,2
1502,1769,20,3,6,3,4
1487,5051,85,9,29,4,6
1496,1231,62,7,31,3,3
1503,10298,1313,51,44,6,5
1507,1889,105,18,1,1,0
1492,7043,22,37,108,12,1
1501,51115,2149,53,1121,25,15
1512,7048,22,8,13,131,3
1513,28810,1427,10,695,10,6
1506,9237,189,80,177,53,6
1514,4345,30,13,29,4,4
1515,1536,74,18,43,3,4
1509,1153,228,4,13,2,1
1504,7546,718,136,23,6,3
1517,12345,100,19,92,8,1
1521,703,23,3,5,1,0
1525,753,11,2,1,1,4
1527,--,151,84,204,30,23
1532,14087,882,30,88,3,2
1529,941,41,5,25,7,2
1531,843,4,4,18,4,6
1519,934,71,7,10,4,4
1526,65324,1622,105,499,20,28
1524,1743,25,6,10,14,3
1533,74647,1495,105,342,64,37
1535,1453,34,12,6,4,0
1528,3124,45,7,23,4,8
1539,4921,10,2,4,104,3
1534,4825,165,16,175,12,7
1543,643,61,4,3,1,4
1536,4428,339,14,33,16,3
1537,4797,355,17,38,1,2
1547,3776,58,8,16,168,0
1544,2192,113,11,3,1,3
1548,133729,758,211,1907,181,155
1552,14102,788,63,223,336,18
1545,835,11,9,13,1,2
1550,2439,48,16,26,6,2
1546,1198,70,4,10,3,1
1557,5176,191,10,24,4,3
1549,5451,809,12,8,10,3
1551,6491,75,31,21,132,3
1555,3308,27,6,21,88,2
1564,162211,6652,554,3077,100,34
1554,8718,575,28,34,15,6
1566,2972,63,8,19,6,1
1569,4119,1137,13,2,1,2
1559,13633,74,16,5,281,1
1565,18650,387,50,75,17,31
1571,4275,119,42,188,24,7
1574,13596,165,50,39,151,4
1575,2947,11,4,7,16,1
1580,8978,230,37,85,6,2
1567,18023,1021,10,469,11,6
1578,--,256,21,11,1,3
1583,4144,100,19,65,3,5
1576,53169,1970,49,352,20,66
1584,9891,262,33,65,6,1
1572,1010,42,5,14,2,4
1573,2980,1,14,7,55,3
1589,1070,7,6,3,1,0
1577,2704,32,11,15,46,2
1581,53409,1164,242,1268,52,17
1579,416576,6859,716,4367,278,313
1587,12081,27,14,20,686,4
